"FileName","FilePath","Version"
"Microsoft.Identity.Client.Extensions.Msal.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.Identity.Client.Extensions.Msal.dll","4.56.0.0"
"Microsoft.IdentityModel.Abstractions.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.Abstractions.dll","6.24.0.31013"
"Microsoft.IdentityModel.JsonWebTokens.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.JsonWebTokens.dll","6.24.0.31013"
"Microsoft.IdentityModel.Logging.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.Logging.dll","6.24.0.31013"
"Microsoft.IdentityModel.Protocols.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.Protocols.dll","6.24.0.31013"
"Microsoft.IdentityModel.Protocols.OpenIdConnect.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.Protocols.OpenIdConnect.dll","6.24.0.31013"
"Microsoft.IdentityModel.Tokens.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.IdentityModel.Tokens.dll","6.24.0.31013"
"Microsoft.SqlServer.Server.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.SqlServer.Server.dll","1.0.0.0"
"Microsoft.Win32.SystemEvents.dll","D:\inetpub\BrokerCommissionsPaymentTool\Microsoft.Win32.SystemEvents.dll","6.0.21.52210"
"Mono.TextTemplating.dll","D:\inetpub\BrokerCommissionsPaymentTool\Mono.TextTemplating.dll","2.2.1.1"
"System.CodeDom.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.CodeDom.dll","4.700.19.56404"
"System.Composition.AttributedModel.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Composition.AttributedModel.dll","6.0.21.52210"
"System.Composition.Convention.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Composition.Convention.dll","6.0.21.52210"
"System.Composition.Hosting.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Composition.Hosting.dll","6.0.21.52210"
"System.Composition.Runtime.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Composition.Runtime.dll","6.0.21.52210"
"System.Composition.TypedParts.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Composition.TypedParts.dll","6.0.21.52210"
"System.Configuration.ConfigurationManager.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Configuration.ConfigurationManager.dll","6.0.922.41905"
"System.Data.SqlClient.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Data.SqlClient.dll","4.700.20.6702"
