"userName","In AD","Last Logon Date","Status"
"sa5SPDFarm","Yes","1/20/2025 2:00:08 AM","Active"
"sa5SPDMySite","Yes","10/31/2022 8:23:48 AM","Active"
"sa5SPDProfileAppPool","Yes","5/20/2022 11:16:30 AM","Active"
"sa5SPDSQLServices","Yes","1/5/2025 7:55:17 PM","Active"
"sa5SPDSearch","Yes","1/16/2025 2:21:52 PM","Active"
"sa5SPDServices","Yes","1/19/2025 4:27:03 AM","Active"
"sa5SPDSrchAcces","Yes","10/31/2022 8:23:48 AM","Active"
"sa5SPDevFarm","Yes","6/20/2023 12:24:27 AM","Active"
"sa5SPFarm","Yes","5/5/2020 12:03:08 AM","Active"
"sa5SPIAppPool","Yes","3/1/2020 12:00:04 AM","Active"
"sa5SPIFarm","Yes","3/15/2020 11:06:00 AM","Active"
"sa5SPIMySite","Yes","3/7/2020 12:00:04 AM","Active"
"sa5SPISearch","Yes","8/9/2017 12:00:23 AM","Active"
"sa5SPISrchAcces","Yes","9/15/2014 9:14:22 PM","Active"
"sa5SPLawsonInt","Yes","10/29/2013 1:47:33 PM","Active"
"sa5SPMMS","Yes","3/11/2020 12:16:00 AM","Active"
"sa5SPMySite","Yes","2/8/2020 12:00:01 AM","Active"
"sa5SPSearch","Yes","5/5/2020 12:03:57 AM","Active"
"sa5SPSecureSvc","Yes","4/24/2019 11:58:15 AM","Active"
"sa5SPSrchAcces","Yes","1/14/2014 3:56:20 AM","Active"
"sa5SPSuperReader","Yes","2/19/2020 3:42:15 PM","Active"
"sa5SPSuperUser","Yes","2/9/2020 5:56:21 AM","Active"
"sa5SPTAppPool","Yes","3/7/2020 12:00:04 AM","Active"
"sa5SPTFarm","Yes","3/1/2020 6:11:01 AM","Active"
"sa5SPTMySite","Yes","3/11/2020 12:00:03 AM","Active"
"sa5SPTSearch","Yes","3/3/2020 12:00:04 AM","Active"
"sa5SPTSrchAcces","Yes","12/11/2017 3:51:16 PM","Active"
"sa5SPTokenSvc","Yes","12/11/2017 3:51:17 PM","Active"
"sa5SPUPS","Yes","1/14/2025 5:42:11 AM","Active"
"sa5SPUsageDataColl","Yes","12/11/2017 3:51:16 PM","Active"
"sa5SPUserProfile","Yes","3/16/2020 12:05:39 AM","Active"
"sa5SPWA","Yes","5/5/2020 12:04:15 AM","Active"
"sa5SharePointAD","Yes","1/11/2025 9:09:39 PM","Active"
"sa5SharePointCal","Yes","10/30/2013 11:10:05 AM","Active"
"sa5TFSBuild","Yes","12/18/2023 12:33:00 PM","Active"
"sa5TFSProxy","Yes","11/9/2023 12:56:15 AM","Active"
"sa5TFSService","Yes","12/18/2023 12:33:00 PM","Active"
"sa5TFSSvc","Yes","11/6/2015 1:00:00 PM","Active"
"techtrng","Yes","2/6/2024 11:06:48 AM","Active"
"v80010","Yes","9/22/2023 11:59:33 AM","Active"
"v80011","Yes","4/23/2024 1:55:41 PM","Active"
"v80012","Yes","10/3/2023 12:06:34 PM","Active"
"v80013","Yes","1/10/2025 2:29:05 PM","Active"
"v80014","Yes","1/20/2025 10:43:22 AM","Active"
"v80015","Yes","9/30/2023 12:06:24 PM","Active"
"v80016","Yes","12/3/2024 10:08:46 AM","Active"
"v80017","Yes","1/16/2025 9:41:18 AM","Active"
"v80018","Yes","10/3/2023 12:06:37 PM","Active"
"v80019","Yes","1/17/2025 10:52:07 AM","Active"
"v80020","Yes","4/24/2023 5:00:34 PM","Disabled"
"v80021","Yes","4/24/2023 5:00:34 PM","Disabled"
"v80022","Yes","4/24/2023 5:00:37 PM","Disabled"
"v80023","Yes","4/24/2023 5:00:37 PM","Disabled"
"v80024","Yes","4/24/2023 5:01:51 PM","Disabled"
"v80025","Yes","4/24/2023 5:02:21 PM","Disabled"
"v80026","Yes","4/24/2023 5:02:36 PM","Disabled"
"v80027","Yes","4/24/2023 5:02:51 PM","Disabled"
"v80028","Yes","4/24/2023 5:03:06 PM","Disabled"
"v80029","Yes","4/24/2023 5:03:22 PM","Disabled"
"v80030","Yes","4/24/2023 5:03:52 PM","Disabled"
"v80031","Yes","4/24/2023 5:04:07 PM","Disabled"
"v80032","Yes","4/24/2023 5:04:22 PM","Disabled"
"v80033","Yes","4/24/2023 5:04:37 PM","Disabled"
"v80034","Yes","4/24/2023 5:05:08 PM","Disabled"
"v80035","Yes","4/24/2023 5:05:23 PM","Disabled"
"v80036","Yes","4/24/2023 5:05:38 PM","Disabled"
"v80037","Yes","4/24/2023 5:05:53 PM","Disabled"
"v80038","Yes","4/24/2023 5:05:57 PM","Disabled"
"v80039","Yes","4/24/2023 5:06:00 PM","Disabled"
"v80040","Yes","4/24/2023 5:06:00 PM","Disabled"
"v80041","Yes","4/24/2023 5:06:00 PM","Disabled"
"v80042","Yes","4/24/2023 5:06:03 PM","Disabled"
"v80043","Yes","9/27/2023 12:00:24 PM","Active"
