#TYPE Selected.Microsoft.Exchange.Management.SystemConfigurationTasks.DatabaseCopyStatusEntry
"Name","ActivationSuspended"
"DAG02 MBX-1\USONVSVRDAG02","False"
"DAG01 MBX-1\USONVSVRDAG02","False"
