#TYPE Selected.System.String
"SAM","DN","MemberOf","pwdAge","disabled","pWDneverExpires"
"infra_svc","CN=INFRA SVC,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","15","FALSE","TRUE"
"ironport","CN=Iron Port,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","15","FALSE","TRUE"
"isacoffd","CN=isacoffd,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","10","FALSE","FALSE"
"jakubowskij","CN=jakubowskij,OU=FDR,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","<Not Set>","FALSE","FALSE"
"jeffriesd","CN=jeffriesd,OU=Technical_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","4","FALSE","FALSE"
"jznamen.advisor","CN=jznamen advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","173","TRUE","FALSE"
"KMartindale","CN=Kenneth Martindale,OU=Support Services,OU=IT Infrastructure,OU=Users,OU=IT,OU=Las_Vegas,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","35","FALSE","FALSE"
"kerrw","CN=kerrw,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","3","FALSE","FALSE"
"KKurgansky.advisor","CN=kkurgansky advisor,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","18","FALSE","FALSE"
"kucerad","CN=kucerad,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","41","FALSE","FALSE"
"lanej","CN=lanej,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","40","FALSE","FALSE"
"LAstolfi.Advisor","CN=LAstolfi.Advisor,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","88","FALSE","FALSE"
"leavitts","CN=leavitts,OU=Technical_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","46","FALSE","FALSE"
"listonw","CN=listonw,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","27","FALSE","FALSE"
"LKarmokar.Advisor","CN=LKarmokar Advisor,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","98","FALSE","FALSE"
"lpetitjean.advisor","CN=LPetitjean Advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","35","FALSE","FALSE"
"lsanders.advisor","CN=LSanders Advisor,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","26","FALSE","FALSE"
"mabialad","CN=mabialad,OU=Technical_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","87","FALSE","FALSE"
"madanj","CN=madanj,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","69","FALSE","FALSE"
"martindalek","CN=martindalek,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","33","FALSE","FALSE"
"martinezc","CN=martinezc,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","76","FALSE","FALSE"
"MBasha.Advisor","CN=MBasha Advisor,OU=Specialty_Apps,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","63","FALSE","FALSE"
