"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Hotfix_3_4_682_0_3517750";"PHXFDR01.PHX.FNBM.CORP";"Symantec Corporation";"InstallDate";"";;;"Veritas Storage Foundation 6.1 for Windows ";
