"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"10.in-addr.arpa","1.3.21","PTR","vdc-valleyview-gw.vegas.com.","3600","3659921","7/10/2018 5:00:00 PM","2007496869","11/19/2009 3:11:49 PM","7/10/2018 10:27:49 AM","True","DC=1.3.21,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","3.53.2","PTR","vegas2190.corp.vegas.com.","1200","3662425","10/23/2018 1:00:00 AM","2007537763","6/11/2018 11:27:58 AM","10/22/2018 6:13:38 PM","True","DC=3.53.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","194.22.25","UNKNOWN","xGdXouFw1AE=","0","0","[static]","2007540672","10/4/2018 7:54:27 AM","10/30/2018 11:19:23 PM","True","DC=194.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","4.53.2","PTR","vegas4056.corp.vegas.com.","1200","3661110","8/29/2018 6:00:00 AM","2007516063","6/11/2018 11:49:30 AM","8/28/2018 11:16:57 PM","True","DC=4.53.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","126.1.160","PTR","DESKTOP-4GCF80S.rm.remarkmedia.com.","900","3662590","10/29/2018 10:00:00 PM","2007539941","7/12/2018 11:06:09 AM","10/29/2018 3:31:05 PM","True","DC=126.1.160,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","195.22.25","UNKNOWN","BMpZouFw1AE=","0","0","[static]","2007540673","10/4/2018 7:54:28 AM","10/30/2018 11:19:23 PM","True","DC=195.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","87.20.25","PTR","vdcldgap01-ilo.vegas.com.","3600","0","[static]","2007198370","6/13/2011 10:55:34 AM","6/12/2017 2:53:56 PM","True","DC=87.20.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","164.4.25","PTR","chinton-mint.corp.vegas.com.","900","3652776","9/16/2017 12:00:00 AM","2007376401","2/14/2017 10:41:51 AM","9/15/2017 5:50:16 PM","True","DC=164.4.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","47.50.2","PTR","dba4011m.corp.vegas.com.","1200","3661169","8/31/2018 5:00:00 PM","2007516946","5/21/2018 10:59:37 AM","8/31/2018 10:20:02 AM","True","DC=47.50.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","5.53.2","PTR","scolosimo.corp.vegas.com.","1200","3662623","10/31/2018 7:00:00 AM","2007540721","6/11/2018 11:55:02 AM","10/31/2018 12:45:40 AM","True","DC=5.53.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","199.4.25","PTR","samsung-galaxy-s7.corp.vegas.com.","900","3662606","10/30/2018 2:00:00 PM","2007540107","7/12/2018 11:26:12 AM","10/30/2018 7:16:38 AM","True","DC=199.4.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","52.56.2","PTR","cc4143laptop.svc.prod.vegas.com.","1200","3660783","8/15/2018 3:00:00 PM","2007512102","8/15/2018 8:22:53 AM","8/15/2018 8:23:08 AM","True","DC=52.56.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","196.22.25","UNKNOWN","0Qf+yPpw1AE=","0","0","[static]","2007540817","10/4/2018 7:54:36 AM","10/31/2018 2:19:25 AM","True","DC=196.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","23.22.25","PTR","qa_lab18.corp.vegas.com.","1200","3624439","6/23/2014 7:00:00 AM","2007198655","4/15/2014 12:18:53 PM","6/12/2017 2:53:56 PM","True","DC=23.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","50.50.2","PTR","mktg4058m.corp.vegas.com.","1200","3660211","7/22/2018 7:00:00 PM","2007499963","5/21/2018 12:47:55 PM","7/22/2018 12:52:39 PM","True","DC=50.50.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","197.22.25","UNKNOWN","+mkAyfpw1AE=","0","0","[static]","2007540818","10/4/2018 7:54:38 AM","10/31/2018 2:19:25 AM","True","DC=197.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","204.4.25","UNKNOWN","JXK1jAtx1AE=","0","0","[static]","2007540848","7/12/2018 12:56:08 PM","10/31/2018 4:19:27 AM","True","DC=204.4.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","198.22.25","UNKNOWN","vKwdZ/Jw1AE=","0","0","[static]","2007540746","10/4/2018 7:54:45 AM","10/31/2018 1:19:26 AM","True","DC=198.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","205.4.25","PTR","paulsvdccomputer.corp.vegas.com.","900","3662609","10/30/2018 5:00:00 PM","2007540131","7/12/2018 1:06:13 PM","10/30/2018 10:03:30 AM","True","DC=205.4.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","199.22.25","UNKNOWN","Iq7I3dBw1AE=","0","0","[static]","2007540603","10/4/2018 7:54:45 AM","10/30/2018 9:19:25 PM","True","DC=199.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","59.4.26","PTR","ccb01.svc.prod.vegas.com.","900","3662623","10/31/2018 7:00:00 AM","2007540720","6/20/2016 11:18:46 AM","10/31/2018 12:40:39 AM","True","DC=59.4.26,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","200.22.25","UNKNOWN","xg73P9lw1AE=","0","0","[static]","2007540621","10/4/2018 7:54:46 AM","10/30/2018 10:19:23 PM","True","DC=200.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","50.4.26","UNKNOWN","7K7nuV1x1AE=","0","0","[static]","2007541103","6/19/2016 5:10:44 PM","10/31/2018 2:07:41 PM","True","DC=50.4.26,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","201.22.25","UNKNOWN","xg73P9lw1AE=","0","0","[static]","2007540622","10/4/2018 7:54:46 AM","10/30/2018 10:19:23 PM","True","DC=201.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","10.22.25","PTR","qa_lab5.corp.vegas.com.","1200","3626263","9/7/2014 7:00:00 AM","2007202482","3/31/2014 1:30:19 PM","6/12/2017 2:53:56 PM","True","DC=10.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","159.3.21","PTR","ctt4043.svc.prod.vegas.com.","900","3662656","11/1/2018 4:00:00 PM","2007541435","11/21/2016 1:26:40 PM","11/1/2018 9:25:03 AM","True","DC=159.3.21,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","202.22.25","UNKNOWN","KXH5P9lw1AE=","0","0","[static]","2007540623","10/4/2018 7:54:46 AM","10/30/2018 10:19:23 PM","True","DC=202.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","156.3.21","PTR","ctt4050.svc.prod.vegas.com.","900","3662527","10/27/2018 7:00:00 AM","2007539685","11/19/2009 3:12:06 PM","10/27/2018 12:58:47 AM","True","DC=156.3.21,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","214.4.25","UNKNOWN","cMnmaudr1AE=","0","0","[static]","2007538231","7/12/2018 3:32:22 PM","10/24/2018 3:18:12 PM","True","DC=214.4.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","203.22.25","UNKNOWN","jdP7P9lw1AE=","0","0","[static]","2007540624","10/4/2018 7:55:32 AM","10/30/2018 10:19:23 PM","True","DC=203.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","171.3.21","PTR","ctt4135.svc.prod.vegas.com.","900","3662606","10/30/2018 2:00:00 PM","2007540107","3/17/2017 1:43:52 PM","10/30/2018 7:18:07 AM","True","DC=171.3.21,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","61.4.26","PTR","cca04.svc.prod.vegas.com.","900","3662575","10/29/2018 7:00:00 AM","2007539797","7/3/2017 4:06:13 AM","10/29/2018 12:33:22 AM","True","DC=61.4.26,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
