"User","Source","Time","EventType","Controller"
"317037217","Unlocked By: Disacoff","9/14/2018 1:01:31 PM","Unlock","LASAUTH02"
"317066389","LASAUTH02","9/14/2018 1:25:20 PM","Lockout","LASAUTH02"
"317066389","Unlocked By: KMartindale","9/14/2018 1:27:41 PM","Unlock","LASAUTH02"
"313566475","QORBP4WCCRO5","9/14/2018 1:56:06 PM","Lockout","LASAUTH02"
"316921134","Unlocked By: Disacoff","9/14/2018 10:03:05 AM","Unlock","LASAUTH02"
"313565905","Unlocked By: Disacoff","9/14/2018 10:10:03 AM","Unlock","LASAUTH02"
"316781143","Unlocked By: Disacoff","9/14/2018 10:10:58 AM","Unlock","LASAUTH02"
"317071690","Unlocked By: Disacoff","9/14/2018 10:23:33 AM","Unlock","LASAUTH02"
"313480655","LASAUTH02","9/14/2018 10:48:38 AM","Lockout","LASAUTH02"
"313480655","Unlocked By: Disacoff","9/14/2018 10:52:15 AM","Unlock","LASAUTH02"
"317071528","LASAUTH01","9/14/2018 11:14:19 AM","Lockout","LASAUTH01"
"317071528","Unlocked By: Disacoff","9/14/2018 11:18:57 AM","Unlock","LASAUTH02"
"317061673","LASAUTH01","9/14/2018 11:32:32 AM","Lockout","LASAUTH01"
"312724866","LASAUTH02","9/14/2018 11:46:00 PM","Lockout","LASAUTH02"
"313530910","LASAUTH01","9/14/2018 11:57:25 AM","Lockout","LASAUTH01"
"316886120","Unlocked By: Disacoff","9/14/2018 12:04:48 PM","Unlock","LASAUTH02"
"317061673","Unlocked By: Disacoff","9/14/2018 12:07:04 PM","Unlock","LASAUTH02"
"312559480","LASAUTH01","9/14/2018 12:31:48 PM","Lockout","LASAUTH01"
"317027577","LASAUTH02","9/14/2018 12:34:13 PM","Lockout","LASAUTH02"
"317071600","LASAUTH01","9/14/2018 12:47:06 PM","Lockout","LASAUTH01"
"312559480","Unlocked By: Disacoff","9/14/2018 12:50:07 PM","Unlock","LASAUTH02"
"317027577","Unlocked By: Disacoff","9/14/2018 12:51:15 PM","Unlock","LASAUTH02"
"317071600","Unlocked By: Disacoff","9/14/2018 12:53:06 PM","Unlock","LASAUTH02"
"317037217","LASAUTH01","9/14/2018 12:59:14 PM","Lockout","LASAUTH01"
