#TYPE System.Management.Automation.PSCustomObject
"Property","Default","SurfaceHubPolicy"
"","",""
"AllowApplePushNotifications","True","True"
"AllowBluetooth","Allow","Allow"
"AllowBrowser","True","True"
"AllowCamera","True","True"
"AllowConsumerEmail","True","True"
"AllowDesktopSync","True","True"
"AllowExternalDeviceManagement","False","False"
"AllowHTMLEmail","True","True"
"AllowInternetSharing","True","True"
"AllowIrDA","True","True"
"AllowMicrosoftPushNotifications","True","True"
"AllowMobileOTAUpdate","True","True"
"AllowNonProvisionableDevices","True","True"
"AllowPOPIMAPEmail","True","True"
"AllowRemoteDesktop","True","True"
"AllowSimplePassword","True","True"
"AllowSMIMEEncryptionAlgorithmNegotiation","AllowAnyAlgorithmNegotiation","AllowAnyAlgorithmNegotiation"
"AllowSMIMESoftCerts","True","True"
"AllowStorageCard","True","True"
"AllowTextMessaging","True","True"
"AllowUnsignedApplications","True","True"
"AllowUnsignedInstallationPackages","True","True"
"AllowWiFi","True","True"
"AlphanumericPasswordRequired","False","False"
"ApprovedApplicationList","",""
"AttachmentsEnabled","True","True"
"DeviceEncryptionEnabled","False","False"
"DevicePolicyRefreshInterval","Unlimited","Unlimited"
"IrmEnabled","True","True"
"IsDefault","True","False"
"MaxAttachmentSize","Unlimited","Unlimited"
"MaxCalendarAgeFilter","All","All"
"MaxEmailAgeFilter","All","All"
"MaxEmailBodyTruncationSize","Unlimited","Unlimited"
"MaxEmailHTMLBodyTruncationSize","Unlimited","Unlimited"
"MaxInactivityTimeLock","Unlimited","Unlimited"
"MaxPasswordFailedAttempts","Unlimited","Unlimited"
"MinPasswordComplexCharacters","1","1"
"MinPasswordLength","",""
"MobileOTAUpdateMode","MinorVersionUpdates","MinorVersionUpdates"
"Name","Default","SurfaceHubPolicy"
"PasswordEnabled","False","False"
"PasswordExpiration","Unlimited","Unlimited"
"PasswordHistory","0","0"
"PasswordRecoveryEnabled","False","False"
"RequireDeviceEncryption","False","False"
"RequireEncryptedSMIMEMessages","False","False"
"RequireEncryptionSMIMEAlgorithm","TripleDES","TripleDES"
"RequireManualSyncWhenRoaming","False","False"
"RequireSignedSMIMEAlgorithm","SHA1","SHA1"
"RequireSignedSMIMEMessages","False","False"
"RequireStorageCardEncryption","False","False"
"UnapprovedInROMApplicationList","",""
"UNCAccessEnabled","True","True"
"WSSAccessEnabled","True","True"
