#TYPE Selected.Microsoft.SharePoint.Administration.SPFeatureDefinition
"Id","DisplayName","Scope","CompatibilityLevel"
"2fa4db13-4109-4a1d-b47c-c7991d4cc934","UpgradeOnlyFile","Web","14"
"2fb9d5df-2fb5-403d-b155-535c256be1dc","NintexWorkflowEnterpriseWeb","Web","14"
"2fbbe552-72ac-11dc-8314-0800200c9a66","V2VPublishingLayouts","Site","14"
"306936fd-9806-4478-80d1-7e397bfa6474","RedirectPageContentTypeBinding","Web","14"
"319d8f70-eb3a-4b44-9c79-2087a87799d6","GlobalWebParts","Farm","14"
"32ff5455-8967-469a-b486-f8eaf0d902f9","TenantProfileAdmin","Web","14"
"34339dc9-dec4-4256-b44a-b30ff2991a64","ContentTypeSyndication","WebApplication","14"
"35f680d4-b0de-4818-8373-ee0fca092526","SSSvcAdmin","Web","14"
"38969baa-3590-4635-81a4-2049d982adfa","FastCentralAdminHelpCollection","Site","14"
"397942ec-14bf-490e-a983-95b87d0d29d1","EmailTemplates","WebApplication","14"
"3992d4ab-fa9e-4791-9158-5ee32178e88a","BICenterSampleData","Web","14"
"39dd29fb-b6f5-4697-b526-4d38de4893e5","MpsWebParts","Web","14"
"3a4ce811-6fe0-4e97-a6ae-675470282cf2","DocumentManagement","WebApplication","14"
"3bae86a2-776d-499d-9db8-fa4cdc7884f8","DocumentSet","Site","14"
"3bc0c1e1-b7d5-4e82-afd7-9f7e59b60409","ReviewWorkflowsSPD1033","Site","14"
"3c577815-7658-4d4f-a347-cfbb370700a7","IPFSTenantWebProxyConfig","Web","14"
"3cb475e7-4e87-45eb-a1f3-db96ad7cf313","ExcelServerSite","Site","14"
"3d25bd73-7cd4-4425-b8fb-8899977f73de","GBWWebParts","Web","14"
"3d433d02-cf49-4975-81b4-aede31e16edf","OnenoteServerViewing","Site","14"
"3d4ea296-0b35-4a08-b2bf-f0a8cabd1d7f","TenantProfileAdminStapling","Farm","14"
"3f59333f-4ce1-406d-8a97-9ecb0ff0337f","BDR","Web","14"
"415780bf-f710-4e2c-b7b0-b463c7992ef0","TaxonomyFeatureStapler","Farm","14"
"4248e21f-a816-4c88-8cab-79d82201da7b","BizAppsSiteTemplates","Site","14"
"43f41342-1a37-4372-8ca0-b44d881e4434","BizAppsCTypes","Site","14"
"4750c984-7721-4feb-be61-c660c6190d43","OSearchEnhancedFeature","WebApplication","14"
"481333e1-a246-4d89-afab-d18c6fe344ce","PPSWorkspaceList","Web","14"
"485f5158-4b8a-453f-9eeb-7b33f5112adf","NintexWorkflowLiveAdminWeb","Web","14"
"48ac883d-e32e-4fd6-8499-3408add91b53","TaxonomyTimerJobs","WebApplication","14"
"49571cd1-b6a1-43a3-bf75-955acc79c8d8","MySiteHost","Site","14"
"4bcccd62-dcaf-46dc-a7d4-e38277ef33f4","AssetLibrary","Site","14"
"4c42ab64-55af-4c7c-986a-ac216a6e0c0e","ExcelServerWebPart","Site","14"
"4f56f9fa-51a0-420c-b707-63ecbb494db1","BaseWebApplication","WebApplication","14"
"53164b55-e60f-4bed-b582-a87da32b92f1","NintexWorkflowEnterpriseWebParts","Site","14"
"541f5f57-c847-4e16-b59a-b31e90e6f9ea","NavigationProperties","Web","14"
"54668547-c03f-4bb5-aaab-d9568ebaf9c9","NintexWorkflowLiveSite","Site","14"
"55312854-855b-4088-b09d-c5efe0fbf9d2","AdminReportCorePushdown","Farm","14"
"57ff23fc-ec05-4dd8-b7ed-d93faa7c795d","SiteHelp","Site","14"
"58160a6b-4396-4d6e-867c-65381fb5fbc9","FacilityList","Web","14"
"5a020a4f-c449-4a65-b07d-f2cc2d8778dd","MobileEwaFarm","Farm","14"
"5a979115-6b71-45a5-9881-cdc872051a69","BizAppsFields","Site","14"
"5bccb9a4-b903-4fd1-8620-b795fa33c9ba","RecordResources","Site","14"
"5d220570-df17-405e-b42d-994237d60ebf","PPSDatasourceLib","Web","14"
"5eac763d-fbf5-4d6f-a76b-eded7dd7b0a5","SearchExtensions","Site","14"
"5ede0a86-c772-4f1d-a120-72e734b3400c","MySiteHostPictureLibrary","Web","14"
"5f3b0127-2f1d-4cfd-8dd2-85ad1fb00bfc","PortalLayouts","Site","14"
"5fe8e789-d1b7-44b3-b634-419c531cfdca","VisioServer","Farm","14"
"612d671e-f53d-4701-96da-c3a4ee00fdc5","SpellChecking","Farm","14"
"6361e2a8-3bc4-4ca4-abbb-3dfbb727acd7","TenantAdminSecureStoreStapling","Farm","14"
"636287a7-7f62-4a6e-9fcc-081f4672cbf8","ScheduleList","Web","14"
"65d96c6b-649a-4169-bf1d-b96505c60375","SlideLibraryActivation","Farm","14"
"683df0c0-20b7-4852-87a3-378945158fab","ObaProfilePages","Web","14"
"6928b0e5-5707-46a1-ae16-d6e52522d52b","MySiteLayouts","Site","14"
"695b6570-a48b-4a8e-8ea5-26ea7fc1d162","ctypes","Site","14"
"69cc9662-d373-47fc-9449-f18d11ff732c","MySite","Farm","14"
"6adff05c-d581-4c05-a6b9-920f15ec6fd9","MySiteNavigation","Web","14"
"6c09612b-46af-4b2f-8dfc-59185c962a29","SignaturesWorkflow","Site","14"
"6d127338-5e7d-4391-8f62-a11e43b1d404","RecordsManagement","Farm","14"
"6e53dd27-98f2-4ae5-85a0-e9a8ef4aa6df","LegacyDocumentLibrary","Web","14"
"6e8a2add-ed09-4592-978e-8fa71e6f117c","GBWProvision","Web","14"
"6e8f2b8d-d765-4e69-84ea-5702574c11d6","FastEndUserHelpCollection","Site","14"
"7094bd89-2cfe-490a-8c7e-fbace37b4a34","Reporting","Site","14"
"713a65a1-2bc7-4e62-9446-1d0b56a8bf7f","SPSDisco","Farm","14"
"716f0ee9-e2b0-41f0-a73c-47ed73f135de","NintexFormsSitePrerequisites",,"14"
"7201d6a4-a5d3-49a1-8c19-19c4bac6e668","MetaDataNav","Web","14"
"73ef14b1-13a9-416b-a9b5-ececa2b0604c","TaxonomyFieldAdded","Site","14"
"744b5fd3-3b09-4da6-9bd1-de18315b045d","AccSrvSolutionGallery","Site","14"
"750b8e49-5213-4816-9fa2-082900c0201a","IPFSAdminWeb","Web","14"
"756d8a58-4e24-4288-b981-65dc93f9c4e5","SocialRibbonControl","Farm","14"
"76d688ad-c16e-4cec-9b71-7b7f0d79b9cd","EnterpriseWiki","Web","14"
"7ac8cc56-d28e-41f5-ad04-d95109eb987a","OSSSearchSearchCenterUrlSiteFeature","Site","14"
"7acfcb9d-8e8f-4979-af7e-8aed7e95245e","OSSSearchSearchCenterUrlFeature","Web","14"
