"Category","Value"
"Date","10/4/2021 11:00:33 AM"
"ADRecon","https://github.com/adrecon/ADRecon"
"ADWS Version","v1.24"
"Ran as user","john.admin"
"Ran on computer","USON.LOCAL\NMS01027 - Member Workstation"
"Execution Time (mins)","74.73"
