"Category","Value"
"Name","USON.LOCAL"
"NetBIOS","USON"
"Functional Level","Windows2008R2Domain"
"DomainSID","S-1-5-21-2571279217-2041782082-3149958405"
"Domain Controller","MSODC02.USON.LOCAL"
"Domain Controller","MSODC01.USON.LOCAL"
"Domain Controller","MWTDC01.USON.LOCAL"
"Domain Controller","MWTDC02.USON.LOCAL"
"Creation Date","7/11/2011 12:29:37 PM"
"ms-DS-MachineAccountQuota","10"
"RIDs Issued","14104"
"RIDs Remaining","1073727719"
