"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"DISABLED USERS","2","OU=DISABLED USERS,OU=DISABLED_OBJECTS,DC=USON,DC=LOCAL",,,,,"False","",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","13","UHG Petya Decoy","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","12","UHG ETD CTI Opt-IN","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","11","Remote Registry","False","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","10","Interactive Logon","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","9","Citrix Reciever Config 2.0","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","8","Citrix Online Plugin URL","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","7","Automatic Certificate Enrollment","False","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","6","{98104C72-8E50-478F-9D16-B9B8043EAF80}","True","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
"MSO","1","OU=MSO,DC=USON,DC=LOCAL","5","Internet Explorer Policy","False","True","False","[LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={82418D5B-8801-44EC-AFBB-1576C2D62767},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={3DDCF573-9503-42D3-9C9F-9820DDA3748E},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={AC350795-DF59-4DA1-ADEA-63ADB570E4D4},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://cn={C25DD027-5D73-408D-AB72-FA23B44F972A},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={BC395810-ABD5-4E65-A65C-41E2348C9E58},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={CAFEF033-5256-48CE-BB65-329D614D01A2},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={0F892AC0-18AB-47CB-BBFF-44DC5975ACFC},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={79C9C069-0714-422F-82C3-C7BBD4DCE21D},cn=policies,cn=system,DC=USON,DC=LOCAL;0]",
