"Domain","AccountName","AccountGroup","ActiveDirectoryRights","ObjectRights","ObjectDN","ObjectOwner","ObjectClassCategory"
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins62,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins64,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins66,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins68,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins80,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins92,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\holmesk","FNBMCORP\holmesk","ObjectOwner","ObjectOwner","CN=DomainAdmins98,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\holmesk",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PDISA SYSADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PDIUA UADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PPISA SYSADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PPIUA USERADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PTISA SYSADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\isacoffd","FNBMCORP\isacoffd","ObjectOwner","ObjectOwner","CN=PTIUA UADMIN,OU=PEGA,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\isacoffd",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins17,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins18,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins19,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins23,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins60,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\oconnerm","FNBMCORP\oconnerm","ObjectOwner","ObjectOwner","CN=DomainAdmins89,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\oconnerm",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins11,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins12,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins13,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins14,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins15,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins16,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins20,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins22,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins24,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins25,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins26,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins27,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins28,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins29,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins30,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins31,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins32,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins33,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins34,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins35,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins36,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins37,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
