"pwdlastset","enabled","samaccountname"
"9/4/2008 11:07:43 AM","False","laptop3"
"11/25/2015 2:21:56 PM","True","ECRoom"
"11/14/2007 11:39:12 AM","False","CollectionsBridgeLin"
"10/10/2008 10:29:44 AM","True","mktevents"
"4/5/2007 10:17:24 AM","False","projector2"
"12/31/1600 4:00:00 PM","True","RowReport"
"8/31/2010 10:02:26 AM","False","psbridgeline"
"7/23/2007 4:48:18 PM","True","confirmation"
"1/14/2008 12:01:00 PM","True","livescan"
"6/6/2008 5:23:06 PM","False","aircard2"
"12/31/1600 4:00:00 PM","True","internetmanager"
"9/4/2008 11:04:47 AM","False","laptop1"
"1/17/2006 4:40:04 PM","True","oagreement"
"10/23/2009 12:13:01 PM","True","collcmdcenter"
"5/4/2004 8:10:17 AM","True","CustomerContact"
"4/5/2007 10:11:04 AM","False","projector1"
"8/10/2005 12:47:24 AM","True","MDCMail"
"8/10/2005 12:48:40 AM","True","MGDebitDist"
"5/7/2008 4:09:22 PM","False","TSCRoom"
"6/6/2008 5:22:57 PM","False","aircard1"
"4/11/2016 7:39:28 AM","False","jsussman"
"11/23/2015 9:14:09 PM","True","TrgRoom3"
"3/25/2010 11:31:36 AM","True","FDR_shared"
"9/18/2006 12:35:44 PM","False","TrgRoom4"
"11/1/2012 10:00:35 PM","True","em7"
"6/6/2008 4:40:26 PM","False","aircard4"
"8/10/2005 12:50:32 AM","True","projector"
"6/6/2008 4:39:51 PM","False","aircard3"
"8/10/2005 12:46:02 AM","True","fprepaid"
"8/10/2005 12:48:07 AM","True","MGCardDist"
"8/10/2005 12:49:04 AM","True","MGDist"
"8/10/2005 12:49:31 AM","True","PMTDist"
"3/21/2008 2:30:23 PM","True","dispute"
"11/24/2015 9:56:52 AM","True","BRoom"
"11/19/2008 5:03:51 PM","True","pmo"
"6/20/2008 12:31:51 PM","True","IntTravel"
"8/10/2005 12:43:12 AM","True","AS Vacation"
"3/22/2011 11:03:15 AM","False","board"
"2/6/2013 10:30:33 PM","False","mqmonitor"
"4/12/2011 1:29:29 PM","True","svctest"
"4/15/2011 2:11:07 PM","True","netscanner"
"5/13/2011 9:43:10 AM","True","svc_spreporting"
"1/8/2010 2:32:20 PM","True","wsuperuser"
"5/16/2016 2:29:13 PM","True","bhildebrand"
"7/29/2011 8:54:15 AM","True","svc_rfaxprt"
"11/23/2015 8:24:03 PM","True","room229"
"6/27/2016 8:23:45 AM","False","MGalero"
"1/11/2017 8:31:41 AM","False","KSahagun"
"9/14/2006 11:40:56 PM","True","Cyberfusion"
"3/15/2017 4:40:36 PM","False","lstone"
"5/1/2013 9:39:04 AM","False","vencbauer"
"7/25/2011 11:41:13 AM","True","svc_rfaxsql"
"12/30/2015 11:45:40 AM","True","lspillman"
"2/14/2012 4:46:19 PM","True","macmini"
"8/9/2011 9:27:48 AM","True","svc_scheduler"
"1/31/2013 11:52:29 PM","False","svcfilewatcher"
"8/8/2017 8:37:25 AM","True","hpi"
"8/10/2016 11:21:04 AM","True","IHowlader.Advisor"
"11/24/2013 12:15:16 AM","False","svc_Manuals-Prod-RW"
"3/19/2014 2:57:19 PM","True","egienko"
"11/7/2013 9:45:10 PM","False","svc_Manuals-Test-RW"
"2/6/2013 9:55:56 PM","False","lightspeed_svc"
"6/14/2017 12:28:58 PM","True","breakroom"
"2/18/2013 8:13:27 AM","False","venvovena"
"10/21/2017 10:20:40 PM","True","svcradwareadmin"
"8/29/2017 12:38:03 PM","True","cfraule"
"5/21/2016 11:05:26 PM","True","svc_rfax"
"7/30/2012 1:48:18 PM","True","avaya_support"
"2/22/2016 6:43:59 AM","True","svc_securid"
"12/31/1600 4:00:00 PM","False","SM_af1f8549de514f388"
"12/31/1600 4:00:00 PM","False","SM_e3ce5476c40f43fab"
"12/31/1600 4:00:00 PM","False","SM_1d592747454b44169"
"12/31/1600 4:00:00 PM","False","SM_dfa6204f096b48398"
"4/27/2016 3:40:17 PM","True","svc_Stmnt-Ins-Tst-RO"
"9/19/2012 3:34:20 PM","True","infra_svctest"
"3/7/2013 2:21:50 PM","False","svc_PlasticImages-Te"
"11/8/2013 1:00:21 AM","False","svc_PlasticImages-RW"
"11/24/2013 12:51:33 AM","False","svc_PI-Prod-RW"
"11/8/2013 1:13:46 AM","False","svc_CliOffer-test-RW"
"10/21/2017 10:20:41 PM","True","svc_CliOffer-test-RO"
"6/28/2017 8:04:10 AM","False","KPerrigo"
"9/19/2016 12:02:40 PM","False","AThuveson"
"11/24/2013 12:48:06 AM","False","svc_CLIOffer-Prod-RW"
"3/6/2013 3:50:00 PM","False","svc_Accept-Test-RO"
"3/6/2013 3:50:17 PM","False","svc_Accept-Test-RW"
"3/6/2013 3:50:35 PM","False","svc_COBWeb-Test-RO"
"3/6/2013 3:50:53 PM","False","svc_COBWeb-Test-RW"
"3/6/2013 3:51:13 PM","False","svc_Prequal-Test-RO"
"3/6/2013 3:51:28 PM","False","svc_Prequal-Test-RW"
"3/6/2013 3:51:46 PM","False","svc_Accept-Prod-RO"
"3/6/2013 3:52:01 PM","False","svc_Accept-Prod-RW"
"3/6/2013 3:52:16 PM","False","svc_COBWeb-Prod-RO"
"3/6/2013 3:52:32 PM","False","svc_COBWeb-Prod-RW"
"3/6/2013 3:53:12 PM","False","svc_Prequal-Prod-RO"
"3/6/2013 3:53:26 PM","False","svc_Prequal-Prod-RW"
"6/21/2016 7:32:25 AM","False","RPruett"
"7/18/2016 8:21:51 AM","False","NBuck"
"10/21/2017 10:20:43 PM","True","svc_bp"
"7/25/2017 7:32:28 AM","False","VScott"
"11/23/2015 4:53:37 PM","True","room227"
"12/19/2016 8:19:15 AM","False","DHenrriquez"
"3/20/2017 7:57:35 AM","False","BBostwick"
"7/9/2013 11:27:56 AM","True","WLoughnane"
"7/24/2013 9:33:26 AM","True","hradp"
"10/28/2016 4:30:48 PM","False","RFernandez"
"8/20/2013 7:04:02 AM","True","Webex.IT1"
"10/18/2016 8:33:28 AM","True","LHernandez"
"10/18/2013 11:42:45 AM","True","Investigations"
"9/18/2013 10:14:11 AM","True","WebEx.Ops01"
"9/18/2013 10:15:01 AM","True","WebEx.Ops02"
"9/18/2013 10:15:50 AM","True","WebEx.Risk01"
"9/18/2013 10:17:28 AM","True","WebEx.IT01"
"9/18/2013 10:18:19 AM","True","WebEx.IT02"
"9/18/2013 10:19:05 AM","True","WebEx.IT03"
"9/18/2013 10:19:39 AM","True","WebEx.IT04"
"12/1/2015 2:04:49 PM","False","Audit-Test"
