"User","Source","Time","EventType","Controller"
"Guest","LASISE01","11/30/2017 3:14:14 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 3:15:50 AM","Lockout","LASDC05"
"kmerritt","DPC-21232","11/30/2017 3:16:59 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 4:01:36 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","11/30/2017 4:15:49 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 4:52:51 PM","Lockout","LASDC02"
"dcasarez","DPC-20847","11/30/2017 5:25:56 AM","Lockout","LASDC02"
"dcasarez","Unlocked By: MOconner.Advisor","11/30/2017 5:28:10 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 5:45:50 AM","Lockout","LASDC02"
"jomartinez","DPC-20786","11/30/2017 5:57:23 AM","Lockout","LASDC02"
"jomartinez","Unlocked By: ASchiff.Advisor","11/30/2017 5:59:29 AM","Unlock","LASDC01"
"kmencl","DPC-20357","11/30/2017 6:07:26 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 6:10:54 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","11/30/2017 6:15:52 PM","Lockout","LASDC02"
"kmencl","Unlocked By: MOconner.Advisor","11/30/2017 6:28:22 AM","Unlock","LASDC02"
"kmencl","DPC-20357","11/30/2017 6:29:40 AM","Lockout","LASDC01"
"kmencl","Unlocked By: MOconner.Advisor","11/30/2017 6:30:35 AM","Unlock","LASDC02"
"kmencl","Unlocked By: MOconner.Advisor","11/30/2017 6:30:47 AM","Unlock","LASDC02"
"anaqvi","DPC-17772","11/30/2017 6:38:24 AM","Lockout","LASDC02"
"anaqvi","Unlocked By: MOconner.Advisor","11/30/2017 6:39:46 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 6:52:00 AM","Lockout","LASDC02"
"mvirgin","DPC-19729","11/30/2017 6:55:59 AM","Lockout","LASDC02"
"LHall","LASAUTH02","11/30/2017 6:57:33 AM","Lockout","LASDC02"
"mvirgin","Unlocked By: ASchiff.Advisor","11/30/2017 6:59:24 AM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 7:20:52 PM","Lockout","LASDC02"
"LHall","Unlocked By: Disacoff.Advisor","11/30/2017 7:21:51 AM","Unlock","LASDC02"
"SNaqvi","DPC-18210","11/30/2017 8:07:48 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 8:10:51 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 8:15:50 AM","Lockout","LASDC05"
"SNaqvi","Unlocked By: WListon.Advisor","11/30/2017 8:25:08 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 8:45:53 PM","Lockout","LASDC02"
"SVC_AirWatch","Unlocked By: jblatnik.advisor","11/30/2017 8:48:30 AM","Unlock","LASDC02"
"bwayland","DPC-19347","11/30/2017 8:56:37 AM","Lockout","LASDC02"
"reslick","DPC-21206","11/30/2017 8:57:02 AM","Lockout","LASDC02"
"bwayland","Unlocked By: ZBucci.Advisor","11/30/2017 8:58:40 AM","Unlock","LASDC01"
"Jcai","DPC-20718","11/30/2017 9:17:05 AM","Lockout","LASDC01"
"Jcai","Unlocked By: ZBucci.Advisor","11/30/2017 9:19:47 AM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 9:20:50 AM","Lockout","LASDC02"
"Lcastillo","DPC-18211","11/30/2017 9:21:35 AM","Lockout","LASDC01"
"Lcastillo","Unlocked By: ZBucci.Advisor","11/30/2017 9:22:34 AM","Unlock","LASDC01"
"DRoby","DPC-17808","11/30/2017 9:24:34 AM","Lockout","LASDC02"
"reslick","Unlocked By: ZBucci.Advisor","11/30/2017 9:26:39 AM","Unlock","LASDC01"
"reslick","Unlocked By: ZBucci.Advisor","11/30/2017 9:26:56 AM","Unlock","LASDC01"
"mpanza","VDI-50012","11/30/2017 9:37:52 AM","Lockout","LASDC02"
"DRoby","Unlocked By: ZBucci.Advisor","11/30/2017 9:44:28 AM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 9:53:17 PM","Lockout","LASDC02"
"Guest","LASISE01","12/1/2017 1:18:40 AM","Lockout","LASDC02"
"bawada","DPC-20719","12/1/2017 1:31:11 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 1:45:54 AM","Lockout","LASDC02"
"OIvanova","DPC-20338","12/1/2017 1:46:33 PM","Lockout","LASDC02"
"bawada","Unlocked By: WListon.Advisor","12/1/2017 1:49:12 PM","Unlock","LASDC02"
"KArgent","","12/1/2017 1:51:29 PM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","12/1/2017 10:25:56 AM","Lockout","LASDC02"
"KMunusamy","DPC-20758","12/1/2017 10:33:12 AM","Lockout","LASDC01"
"HPamarthi","DPC-18564","12/1/2017 10:33:33 AM","Lockout","LASDC02"
"KMunusamy","Unlocked By: WListon.Advisor","12/1/2017 10:33:58 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 10:59:23 PM","Lockout","LASDC01"
"HPamarthi.Advisor","LASPEGASQL01","12/1/2017 11:00:00 PM","Lockout","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:03:46 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:12:20 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:12:31 AM","Lockout","LASDC02"
"CCullors","DPC-20363","12/1/2017 11:15:44 AM","Lockout","LASDC02"
"JArnold","LASSQL04N01","12/1/2017 11:16:11 AM","Lockout","LASDC02"
"JArnold","LASSQL04N02","12/1/2017 11:16:11 AM","Lockout","LASDC02"
"CCullors","Unlocked By: WListon.Advisor","12/1/2017 11:16:27 AM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:17:02 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:17:27 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:18:34 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:18:47 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:19:39 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:19:52 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:20:19 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:20:32 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:21:47 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:22:02 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:22:21 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:22:43 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:25:29 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:25:43 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:26:29 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:31:52 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:35:53 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:36:08 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:39:21 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:39:33 AM","Lockout","LASDC01"
"dcasarez","DPC-20847","12/1/2017 11:44:00 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:44:14 AM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:44:30 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:44:49 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:44:54 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:45:09 AM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","12/1/2017 11:45:58 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:52:36 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:52:50 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:53:46 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:54:00 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:54:36 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:55:48 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:56:09 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:56:24 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:56:31 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:56:39 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:56:52 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:57:04 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:57:12 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:57:24 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:57:30 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:57:44 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:57:54 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:58:09 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:58:17 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:58:29 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:59:03 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:59:19 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:59:23 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 11:59:35 AM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:59:37 AM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 11:59:45 AM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:00:00 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:00:06 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:00:14 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:00:25 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:00:30 PM","Unlock","LASDC02"
