"MMs Column Name","MMS Column Value","Item URL","List Name","List URL"
"ImageTags","holiday;Memorial Day;Flag;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=378","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Money;benefits;Discounts;Payroll;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=379","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","News;Training;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=380","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","holiday;New Years;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=381","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=382","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Clinic;people;Birth;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=383","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=384","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=385","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","holiday;Thanksgiving;Food;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=386","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;News;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=387","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;benefits;Discounts;Growth;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=388","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","COVID;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=389","Images","https://prod-pulse.kscpulse.com/PublishingImages"
