"Path","InstanceName","CookedValue","RawValue","SecondValue","MultipleCount","CounterType","Timestamp","Timestamp100NSec","Status","DefaultScale","TimeBase"
"\\lascoll02\\tcpv4\connections established",,"206","206","0","1","NumberOfItems32","9/27/2018 3:29:26 PM","131825357661570000","0","0","2536125"
"\\lascoll02\\web service(_total)\current connections","_total","70","70","0","1","NumberOfItems32","9/27/2018 3:29:26 PM","131825357661570000","0","0","2536125"
"\\lascoll02\\asp.net\requests queued",,"0","0","0","1","NumberOfItems32","9/27/2018 3:29:26 PM","131825357661570000","0","4294967295","2536125"
"\\lascoll02\\memory\available mbytes",,"12288","12288","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","0","2536125"
"\\lascoll02\\processor(_total)\% processor time","_total","23.8485018850877","10277296037680","131825609661579825","1","Timer100NsInverse","9/27/2018 3:29:26 PM","131825357661570000","0","0","10000000"
"\\lascoll02\\process(idle)\working set","idle","20480","20480","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(system)\working set","system","327680","327680","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(smss)\working set","smss","1142784","1142784","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(csrss#1)\working set","csrss","3555328","3555328","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(csrss)\working set","csrss","4931584","4931584","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wininit)\working set","wininit","3878912","3878912","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(winlogon)\working set","winlogon","5611520","5611520","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(services)\working set","services","12587008","12587008","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(lsass)\working set","lsass","20602880","20602880","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#11)\working set","svchost","10051584","10051584","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#10)\working set","svchost","4882432","4882432","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#9)\working set","svchost","18059264","18059264","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(logonui)\working set","logonui","27889664","27889664","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
