"User","Source","Time","EventType","Controller"
"svc_testforwinsys","Unlocked By: JBattista.Advisor","1/2/2018 10:06:12 AM","Unlock","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 10:06:19 AM","Lockout","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 10:06:24 AM","Lockout","LASDC01"
"svc_testforwinsys","Unlocked By: JBattista.Advisor","1/2/2018 10:55:44 AM","Unlock","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 10:55:49 AM","Lockout","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 10:55:54 AM","Lockout","LASDC01"
"svc_testforwinsys","Unlocked By: JBattista.Advisor","1/2/2018 12:44:45 PM","Unlock","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 12:44:49 PM","Lockout","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 12:44:54 PM","Lockout","LASDC01"
"mablum","DPC-17795","1/2/2018 3:40:24 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","1/2/2018 3:58:05 PM","Lockout","LASDC01"
"JLoBaido","Unlocked By: WListon.Advisor","1/2/2018 8:06:28 AM","Unlock","LASDC01"
"svc_testforwinsys","DPC-20890","1/2/2018 8:10:03 AM","Lockout","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 8:10:08 AM","Lockout","LASDC01"
"JLoBaido","WORKSTATION","1/2/2018 8:10:15 AM","Lockout","LASDC02"
"Lcastillo","DPC-18211","1/2/2018 8:21:25 AM","Lockout","LASDC02"
"Lcastillo","Unlocked By: ZBucci.Advisor","1/2/2018 8:22:05 AM","Unlock","LASDC02"
"JLowery","DPC-20799","1/2/2018 8:29:17 AM","Lockout","LASDC02"
"JLowery","DPC-20799","1/2/2018 8:29:22 AM","Lockout","LASDC01"
"JLoBaido","Unlocked By: MOconner.Advisor","1/2/2018 8:29:46 AM","Unlock","LASDC02"
"JLoBaido","Unlocked By: MOconner.Advisor","1/2/2018 8:30:15 AM","Unlock","LASDC02"
"JLowery","Unlocked By: ZBucci.Advisor","1/2/2018 8:31:46 AM","Unlock","LASDC02"
"svc_testforwinsys","Unlocked By: JBattista.Advisor","1/2/2018 8:34:50 AM","Unlock","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 8:34:54 AM","Lockout","LASDC02"
"svc_testforwinsys","DPC-20890","1/2/2018 8:34:59 AM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","1/2/2018 8:52:49 AM","Lockout","LASDC02"
"svc_testforwinsys","LASPSHOST","12/28/2017 4:52:43 PM","Lockout","LASDC02"
