User,MemberOf
Administrator,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
altrsadmin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
besadmin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
dax.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
ForeScout,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
gfiadmin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
GoodAdmin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
hilario.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
james.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
jerrad.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
john.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
lansweepersupport,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
larry.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
ldap.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
LDAPuser,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
MBAMAppPool,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
service.replay,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
rich.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
roctrust.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
servicesadmin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
shelley.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
Task.Admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
task.administrator,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
tim.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
wil.admin,"CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL"
varian,"CN=Backup Operators,CN=Builtin,DC=USON,DC=LOCAL"
Administrator,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
altrsadmin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
besadmin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
dax.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
ForeScout,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
gfiadmin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
GoodAdmin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
hilario.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
james.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
jerrad.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
john.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
lansweepersupport,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
larry.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
ldap.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
LDAPuser,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
service.replay,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
rich.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
roctrust.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
servicesadmin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
shelley.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
Task.Admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
tim.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
wil.admin,"CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL"
Administrator,"CN=Schema Admins,CN=Users,DC=USON,DC=LOCAL"
Administrator,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
altrsadmin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
besadmin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
dax.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
ForeScout,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
gfiadmin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
