"ServerName","IISVersion","Pingable","PSComputerName","RunspaceId","PSShowComputerName"
"LASCAPS06.fnbm.corp","Version8.0","True","localhost","26984e89-7923-48d5-85cb-30cdbf40c25b","False"
"LASCAPS07.fnbm.corp","Version8.5","True","localhost","e54aa07e-43c9-4927-8529-14ae240e4377","False"
"LASCAPSMT01.fnbm.corp","Not Installed.","True","localhost","48dbcf25-963d-4005-a11d-eef6253da8d7","False"
"LASCAPSMT02.fnbm.corp","Not Installed.","True","localhost","67940e36-73e1-451f-9931-f6e07c5d16c3","False"
"LASCAPSMT05.fnbm.corp","Not Installed.","True","localhost","d3a2cb08-c4f4-418f-ab45-f89bc70547e9","False"
"LASCAPSMT06.fnbm.corp","Not Installed.","True","localhost","4f348daf-bb5d-453d-8c08-d0e33b94aada","False"
"LASCAPSMT07.fnbm.corp","Not Installed.","True","localhost","9c250d0b-d4e1-4745-9dd3-22ca85bd5f85","False"
"LASCARBON01.fnbm.corp","Version8.5","True","localhost","06ea814e-6a0b-4e3d-95bf-d00c85139544","False"
"LASCAROOT01.fnbm.corp","Not Installed.","True","localhost","46b3f360-f0a2-41c9-bfd4-20609308e8d8","False"
"LASCAS01.fnbm.corp","Version8.0","True","localhost","f04f42fc-9ffc-4697-8dbe-81d3a5e8ba75","False"
"LASCAS02.fnbm.corp","Version8.0","True","localhost","67a2a941-22d2-436d-8fe7-671ebdb29d99","False"
"LASCAS03.fnbm.corp","Version8.0","True","localhost","413e07a2-b3d0-4d56-847b-99b13dd477d0","False"
"LASCAS04.fnbm.corp","Version8.0","True","localhost","5cacf9b9-c952-4884-bdd9-bd793032175f","False"
"LASCAS05.fnbm.corp","Version8.0","True","localhost","48ae00eb-13d3-4d4c-8ab7-9efc9dec6f7b","False"
"LASCAS06.fnbm.corp","Version8.0","True","localhost","1219b8b5-96b7-4cdc-b3ed-4450cc6e04bc","False"
"LASCAS07.fnbm.corp","Version8.0","True","localhost","2f53b35d-d8f3-4e28-976f-7c9348b41c8a","False"
"LASCAS08.fnbm.corp","Version8.0","True","localhost","4a18d6a3-a41f-4454-84b8-a02ae23d04fc","False"
"LASCASMT04.fnbm.corp","Version8.0","True","localhost","0c8769cf-0d55-4602-bb3c-e4ce42768f9a","False"
"LASCASMT05.fnbm.corp","Version8.0","True","localhost","33524b04-ae1e-40a7-8355-78d3e409c413","False"
"LASCASMT06.fnbm.corp","Version8.0","True","localhost","3689e4b8-d188-4bcb-9e1a-15bdeb37f21b","False"
"LASCASMT07.fnbm.corp","Version8.0","True","localhost","4a28dd1f-990f-4fcf-ae08-615b038e9b38","False"
"LASCASMT08.fnbm.corp","Version8.0","True","localhost","5f49f9e4-e705-4827-8ded-2f72a67f3b68","False"
"LASCASMT09.fnbm.corp","Version8.0","True","localhost","b6805186-5293-4c98-9f70-0a4aecc51baa","False"
"LASCASMT10.fnbm.corp","Version8.0","True","localhost","c7579e18-b06b-4010-a9c2-f2906c6e3b1b","False"
"LASCASUB01.fnbm.corp","Version8.5","True","localhost","06b70e19-83b8-4592-927d-443bc5be5f11","False"
"LASCASUB02.fnbm.corp","Not Installed.","True","localhost","385e450d-67f8-4ff8-b4e0-6f9f7c105f91","False"
"LASCERT01.fnbm.corp","Version7.5","True","localhost","3e20745c-75ee-4c33-ab37-bc9751fd9746","False"
"LASCHAT01.fnbm.corp","Version7.0","True","localhost","427ca5b7-d57a-489b-89c2-0d34cbf9c9a3","False"
"LASCHAT02.fnbm.corp","Version7.0","True","localhost","c4f5699d-cd2d-44d3-bf7a-aeac3de70c37","False"
"LASCHAT03.fnbm.corp","Version10.0","True","localhost","0db659ca-233e-41f8-9268-3613f318a0d7","False"
"LASCHAT04.fnbm.corp","Version10.0","True","localhost","2d88b849-f42b-4ff3-80b9-b99b2277a7ec","False"
"LASCHATTST01.fnbm.corp","Version7.0","True","localhost","a4e201e2-1ac3-454a-b226-c9ce4b884fb5","False"
"LASCHATTST02.fnbm.corp","Not Installed.","True","localhost","388c4409-b458-4dfa-bbfc-a87b2d41af51","False"
"LASCHATWEB01.fnbm.corp","Version8.5","True","localhost","0ddf27d2-5c19-4674-b605-764bb51bfa5d","False"
"LASCHATWEB02.fnbm.corp","Version8.5","True","localhost","49ca9636-197c-402d-a5de-e4f25493ffda","False"
"LASCODE02.fnbm.corp","Version8.5","True","localhost","da973395-798e-423d-bf88-1a64c824352d","False"
"LASCODETST01.fnbm.corp","Version7.5","True","localhost","2dd3c2a1-eb87-4a0b-afb3-c87b9d141b10","False"
"LASCOLL08.fnbm.corp","Version8.0","True","localhost","5f7d1de5-0123-4936-b847-321760017f37","False"
"LASCOLL09.fnbm.corp","Version8.0","True","localhost","c446343a-3119-4ce3-80b6-c16454384f91","False"
"LASCOLL10.fnbm.corp","Version8.5","True","localhost","7d30e10f-a9fa-45a8-bc0b-a621c82b63df","False"
"LASCOLL11.fnbm.corp","Version8.5","True","localhost","f2e4185e-c1e3-4fa1-aa91-7ce7b20902af","False"
"LASCOLL12.fnbm.corp","Version8.5","True","localhost","cef86d9b-c721-4ce2-a9f8-db8bfde344b1","False"
"LASCOLL13.fnbm.corp","Version8.5","True","localhost","f95e3cfe-d9d8-47a6-ae5f-baef373e575c","False"
"LASCOLL14.fnbm.corp","Version8.5","True","localhost","19aa579d-0ddd-4a5b-8fd2-a10aae1c641d","False"
"LASCOLL15.fnbm.corp","Version8.5","True","localhost","ebfb9f9a-1339-4857-9abb-024e5e184992","False"
"LASDAWH3.fnbm.corp","Not Installed.","True","localhost","ab71834e-ae69-45fd-bd5f-d486f4b2e194","False"
"LASDAWH5.fnbm.corp","Not Installed.","True","localhost","e397cf6b-d646-4304-8015-d464dea6973b","False"
"LASDAWHTST3.fnbm.corp","Not Installed.","True","localhost","56ce88c9-3e4c-464d-a3ab-1710f39dfc33","False"
"LASDC01.fnbm.corp","Not Installed.","True","localhost","8b41dc36-8446-439c-9958-6a55a1bd83bc","False"
"LASDC02.fnbm.corp","Not Installed.","True","localhost","b0a42abc-5ea7-4a93-a32b-c89b1bde9f7f","False"
"LASDC03.fnbm.corp","Not Installed.","True","localhost","3ba4a8b6-6002-4ff2-b22f-52081951e832","False"
"LASDC10.fnbm.corp","Not Installed.","True","localhost","6b4f5b88-f45a-4b3e-854d-fd86c6627df2","False"
"LASDC11.fnbm.corp","Not Installed.","True","localhost","7bcd0a46-46fa-4968-8d8c-6ddd517a3a7b","False"
"LASDCTEST01GUI.fnbm.corp","Version8.0","True","localhost","021cd1be-87d2-43f7-8871-806834add19a","False"
"LASDCTEST01MT.fnbm.corp","Version8.0","True","localhost","29d85157-1259-4c0f-a729-98db2841d07c","False"
"LASDCTEST01WEB.fnbm.corp","Version8.0","True","localhost","8d74cb3c-a468-4355-b8ab-4a486eea1909","False"
"LASDEVTOOLS01.fnbm.corp","Version8.0","True","localhost","dcecd90d-11f4-4124-b473-f6516be4f129","False"
"LASDEVTOOLS02.fnbm.corp","Version8.5","True","localhost","a1da7617-6728-4cdd-a310-4eabe5cfb114","False"
"LASDEVTOOLS03.fnbm.corp","Version8.5","True","localhost","9a5b0128-e469-4340-8b63-3a246f0f44ad","False"
"LASDISPLAY01.fnbm.corp","Version8.5","True","localhost","560eb403-6f15-460c-b534-328ef50f06df","False"
"LASDMZCHAT02.fnbm.corp","Version8.5","True","localhost","1f2f1936-6990-4b01-a582-f995ca9f7301","False"
"LASDMZCHAT03.fnbm.corp","Version8.5","True","localhost","84f08bdf-8552-440f-9ae1-a453bf796612","False"
"LASDMZCHAT04.fnbm.corp","Version8.5","True","localhost","8029d66d-e89c-4473-ab55-897e491d175f","False"
"LASDMZCHATTST01.fnbm.corp","Version8.5","True","localhost","91af11fd-6017-43d0-92b4-2c7677de8e92","False"
"LASDMZWEB01.fnbm.corp","Version8.5","True","localhost","ce07b63a-f019-44af-aa3a-8659afe32fc6","False"
"LASDMZWEB02.fnbm.corp","Version8.5","True","localhost","f0847a86-e89c-496e-aca5-4275b2ccb0be","False"
"LASDMZWEB03.fnbm.corp","Version8.5","True","localhost","018834be-a050-408d-9bc3-28d8e4a9e3f1","False"
"LASDMZWEB04.fnbm.corp","Version8.5","True","localhost","70a7feec-d1da-4216-8777-227ff69a57b5","False"
"LASDMZWEB05.fnbm.corp","Version8.5","True","localhost","1016080f-afa3-4dc4-bf6b-445e4042d495","False"
"LASDMZWEB06.fnbm.corp","Version8.5","True","localhost","8f1bfe86-b150-4055-b358-144e18c84c3e","False"
"LASDMZWEB07.fnbm.corp","Version8.5","True","localhost","9389b940-c997-43f7-9668-b4538a55db0d","False"
"LASDMZWEB08.fnbm.corp","Version8.5","True","localhost","a8570192-e3a5-411e-aa92-32317d72358d","False"
"LASDMZWEB09.fnbm.corp","Version8.5","True","localhost","afc4378d-0a5e-413c-9aaf-8132186b97f7","False"
"LASDMZWEB10.fnbm.corp","Version8.5","True","localhost","c6d7c01d-b5da-495f-864c-6c5c90f89b08","False"
"LASDMZWEB11.fnbm.corp","Version8.5","True","localhost","2e669ba2-36f3-4dc3-9e02-e295dabae67d","False"
"LASDMZWEB12.fnbm.corp","Version8.5","True","localhost","44b2e317-e422-45cf-85cc-22bc90837327","False"
"LASDNS01.fnbm.corp","Not Installed.","True","localhost","ef82eafe-1ef0-4705-a44a-91b3884cd188","False"
"LASDNS02.fnbm.corp","Not Installed.","True","localhost","c2c03d96-293c-4073-84bf-664379233d0c","False"
"LASDSMAPP01.fnbm.corp","Not Installed.","True","localhost","6e74d27c-764e-4646-99fe-6195c0c58fb6","False"
"LASDSMAPPTST01.fnbm.corp","Not Installed.","True","localhost","36e09b76-910f-426f-8bc8-da66002042a0","False"
"LASECAS01.fnbm.corp","Version8.5","True","localhost","6b2d5511-1568-4386-806f-71c4655cb819","False"
"LASENVISE01.fnbm.corp","Version10.0","True","localhost","5177482d-898c-411a-a8b5-d8986d2dfd51","False"
"LASETL03.fnbm.corp","Version8.0","True","localhost","042947b2-f3a9-49fd-8f16-a224692d36f0","False"
"LASETL04.fnbm.corp","Version8.5","True","localhost","8f0a35c9-f611-4118-bde9-e14e8c1f7868","False"
"LASETL05.fnbm.corp","Version10.0","True","localhost","e0d9a25b-3106-4d4e-a243-de3e23e5362d","False"
"LASETL06.fnbm.corp","Not Installed.","True","localhost","0a654e9e-2576-495b-8f30-7cbe90fa9730","False"
"LASETLTST01.fnbm.corp","Not Installed.","True","localhost","e8b0ca8e-5b19-4602-80cd-f50877858d13","False"
"LASETLTST03.fnbm.corp","Not Installed.","True","localhost","d92d9971-f42f-4111-a270-4377e85f93c7","False"
"LASETLTST04.fnbm.corp","Not Installed.","True","localhost","2862cfcd-4f4d-4cbb-bf71-fb5dbdcd95d8","False"
"LASEXCH01.fnbm.corp","Version8.5","True","localhost","ecea0615-5522-41f1-8013-be902aa05df6","False"
"LASEXCH02.fnbm.corp","Version8.5","True","localhost","09a8c99d-425e-405e-9ffe-81fb91ab20ba","False"
"LASEXCH03.fnbm.corp","Version8.5","True","localhost","fc5a172c-acb7-49f7-8a12-79a63d299dc8","False"
"LASEXCH04.fnbm.corp","Version8.5","True","localhost","fd79eaee-1750-47c4-bb88-f144539a9963","False"
"LASEXCHMGT.fnbm.corp","Not Installed.","True","localhost","96bf82d0-abd7-4952-b55e-a9413ac172d1","False"
"LASFACT01.fnbm.corp","Not Installed.","True","localhost","6d76b32a-662d-40de-acde-7d08338b10ea","False"
"LASFDR03.fnbm.corp","Not Installed.","True","localhost","7233008a-6359-4eed-b0b6-79e03aeedab0","False"
"LASFDR04.fnbm.corp","Not Installed.","True","localhost","21442c55-ea55-49cf-babe-884dc422a0ac","False"
"LASFILECLS01.fnbm.corp","Not Installed.","True","localhost","db027378-0cc7-4dd5-8ab8-bb4e12d641c3","False"
"LASFILEN01.fnbm.corp","Not Installed.","True","localhost","813b2d31-3102-46a7-9271-1a2f5f01404d","False"
"LASFOGLIGHT01.fnbm.corp","Not Installed.","True","localhost","477820c5-ffa2-4be4-bf69-1466bde78b84","False"
"LASFPTST01.fnbm.corp","Not Installed.","True","localhost","57da3345-743c-4794-9ed5-e8de095612dd","False"
"LASFS02.fnbm.corp","Not Installed.","True","localhost","b03bb241-2ad3-40f4-891a-6ea4ec3fdd34","False"
"LASFS03.fnbm.corp","Not Installed.","True","localhost","0146c0d6-45a3-4de6-af43-bcafa27e3cc4","False"
"LASFS10.fnbm.corp","Not Installed.","True","localhost","a4429f98-5c22-49de-a504-50a9ca3812d2","False"
"LASHAFILE01.fnbm.corp","Not Installed.","True","localhost","77e13197-cb95-426d-bb23-7d42f10136f1","False"
"LASHAFILE01CLS.fnbm.corp","Not Installed.","True","localhost","3ad49f04-c7b4-4599-8edb-dd5b1f77846b","False"
"LASHAFILE01N01.fnbm.corp","Not Installed.","True","localhost","7edddb27-d5a4-4f0f-8eb7-a2bc67d32120","False"
"LASHAFILE01N02.fnbm.corp","Not Installed.","True","localhost","829ff13a-9664-4fdb-8fed-20dd55473c82","False"
"LASHAGCLSTST01.fnbm.corp","Not Installed.","True","localhost","bf866d5b-a75c-453f-8f0b-9385977f43f8","False"
"LASHF01GUI.fnbm.corp","Version8.0","True","localhost","21c55593-ddac-417a-8471-d72a8e83405d","False"
"LASHF01MT.fnbm.corp","Version8.0","True","localhost","d83387fa-68fd-4386-b0a0-72eb2a1571fd","False"
"LASHF01WEB.fnbm.corp","Version8.0","True","localhost","015f61d9-ac7c-4e63-9ccc-b82fa72a6abe","False"
"LASHICMD01.fnbm.corp","Not Installed.","True","localhost","3b278487-64b1-49e1-ba67-af1e47792360","False"
"LASINFRA02.fnbm.corp","Version8.0","True","localhost","96165aa4-8c0c-455f-bdcd-4277836f6dfb","False"
"LASINFRA03.fnbm.corp","Version8.5","True","localhost","a8ed52e2-e1d5-4b62-be1c-5f97d361dd31","False"
"LASINFRA04.fnbm.corp","Version8.5","True","localhost","4f609530-fcfa-4ad1-b34d-5037470c8d79","False"
"LASINFRA05.fnbm.corp","Version7.5","True","localhost","f54ea9b5-5396-4009-9c06-7ad5a4f929a6","False"
"LASINFRA06.fnbm.corp","Version8.5","True","localhost","bc3a0930-256b-4aab-b658-b98471038e70","False"
"LASINFRA07.fnbm.corp","Version8.5","True","localhost","1e0a8a4c-c76d-476c-8fe4-fe59b130b165","False"
"LASINTRA04.fnbm.corp","Version7.5","True","localhost","0f9a0103-2680-4947-b18a-cfa62b7dd9cf","False"
"LASITS02.fnbm.corp","Version10.0","True","localhost","5925c6b2-6716-4a5c-9967-de827bf67c1b","False"
"LASITS03.fnbm.corp","Not Installed.","True","localhost","a884ea81-8b81-4d0e-943b-3d1f07e50474","False"
"LASJAMSPRD01.fnbm.corp","Not Installed.","True","localhost","3f244d1e-7ade-41db-8d66-4c2b2c84439a","False"
"LASJAMSTEST01.fnbm.corp","Version10.0","True","localhost","1fb77684-ba42-4da2-819a-c3606fa6f5c9","False"
"LASJIRA01.fnbm.corp","Not Installed.","True","localhost","c18f58fc-50a5-4b9c-a458-a8a88b148324","False"
"LASJIRATST01.fnbm.corp","Not Installed.","True","localhost","f7f80b12-5fb9-4a08-9342-c4afa180ee0c","False"
"LASMCE01.fnbm.corp","Not Installed.","True","localhost","0308c425-b601-494c-9734-c1aa9a09dee9","False"
"LASMCE02.fnbm.corp","Not Installed.","True","localhost","f479afa7-0ff4-4929-9e40-e8b1b47f1473","False"
"LASMCE03.fnbm.corp","Not Installed.","True","localhost","b4b16f47-11b7-48cd-a0e2-49c0071868c4","False"
"LASMCE04.fnbm.corp","Not Installed.","True","localhost","2cd65e02-f56d-4ded-bb10-0b1e1c5acd6f","False"
"LASMCE05.fnbm.corp","Not Installed.","True","localhost","5bbb12db-00e9-4e9d-be1f-23fbe7233e02","False"
"LASMCE06.fnbm.corp","Not Installed.","True","localhost","0d83d313-84ec-4e5c-8e28-1cbafcef9437","False"
"LASMCETST01.fnbm.corp","Not Installed.","True","localhost","d0fe38ed-c21c-468a-a7c4-0bb88158ecb9","False"
"LASMCETST02.fnbm.corp","Not Installed.","True","localhost","82af381a-5c39-4c06-b69e-8efb07e4b6a4","False"
"LASMCETST03.fnbm.corp","Not Installed.","True","localhost","ba87f1cb-e14f-4435-8a21-fa311c22b1d8","False"
"LASMDT01.fnbm.corp","Not Installed.","True","localhost","72b4ff02-5af6-4a17-924c-0f9a0a960166","False"
"LASMEDIA01.fnbm.corp","Version8.5","True","localhost","508de60e-dfcc-4dc7-b9e6-0e174b46b066","False"
"LASMEDIA02.fnbm.corp","Not Installed.","True","localhost","1d1bea6c-b7f9-4bfb-8dc6-8a21b8ed1e0a","False"
"LASMEDIATST01.fnbm.corp","Version8.5","True","localhost","4c308f40-daa6-4a04-979d-e904689aa2b1","False"
"LASMONARCH01.fnbm.corp","Version8.5","True","localhost","11192bc4-ce60-4b57-a12b-1e5a64695100","False"
"LASMORPHO01.fnbm.corp","Not Installed.","True","localhost","6274afc5-dd70-40da-aef4-a0a1d5f17f09","False"
"LASMQ01.fnbm.corp","Not Installed.","True","localhost","0bc72d54-a7cf-4a11-bbbf-3cfffb17b262","False"
"LASMQ02.fnbm.corp","Not Installed.","True","localhost","35ab8b79-6951-4abc-a853-1d0e9b3a0ccf","False"
"LASMQ04.fnbm.corp","Version8.5","True","localhost","0c2889b4-d8f3-4fea-98b4-57ad5ba95525","False"
"LASMQAPP.fnbm.corp","Not Installed.","True","localhost","37eef9c8-297e-42f0-9062-87e4416d5231","False"
"LASMQCIM.fnbm.corp","Not Installed.","True","localhost","47b495d1-6ff3-4d12-948d-d9533449d8d0","False"
"LASMT01.fnbm.corp","Version8.0","True","localhost","d3377bc2-1c01-418e-965d-55d5f69f9fd7","False"
"LASMT02.fnbm.corp","Version8.0","True","localhost","63096985-619b-414f-8208-444c067cfd03","False"
"LASMT03.fnbm.corp","Version8.0","True","localhost","7673c50e-6cb9-4d44-b26b-32029fc76ea6","False"
"LASMT04.fnbm.corp","Version8.0","True","localhost","bcd79f2a-9d02-432a-9454-9f0769e726cb","False"
"LASMT05.fnbm.corp","Version8.0","True","localhost","15f40e6e-29bb-44ec-9bc0-b640bd82d75b","False"
"LASMT06.fnbm.corp","Version8.0","True","localhost","62ed040f-f2f2-4738-aa3b-774d8bf36e25","False"
"LASMT07.fnbm.corp","Version8.0","True","localhost","a5b3d1f6-931b-4f47-937d-dc990c6eae19","False"
"LASMT08.fnbm.corp","Version8.0","True","localhost","6971398c-6072-44b0-8a2d-af6a20a19645","False"
"LASMT09.fnbm.corp","Version8.0","True","localhost","20b1c9dc-24c3-4099-81e8-66da0923b81d","False"
"LASMT10.fnbm.corp","Version8.0","True","localhost","5a0005b2-9e40-42e5-9199-cbccc159cf2d","False"
"LASMT11.fnbm.corp","Version8.0","True","localhost","1651b9bd-c5dc-4a8b-ba7c-5349080cbb19","False"
"LASMT12.fnbm.corp","Version8.0","True","localhost","34f5157e-fd6b-4ce1-98f1-4d8fe0ee9873","False"
"LASMT13.fnbm.corp","Version8.0","True","localhost","0cf09c09-f02c-4158-82d8-3577ceab0f41","False"
"LASMT14.fnbm.corp","Version8.0","True","localhost","62ee7a06-2b72-43c1-87a9-54521d04f07e","False"
"LASMT15.fnbm.corp","Version8.0","True","localhost","79886fbb-99c6-4904-88f9-d8519bb646f1","False"
"LASMT16.fnbm.corp","Version8.0","True","localhost","c9dc25ee-d14f-49b5-9a0f-530a64ef6727","False"
"LASMT17.fnbm.corp","Version8.0","True","localhost","215c2fb4-da2c-49a5-9013-a128f6a1cb41","False"
"LASMT18.fnbm.corp","Version8.0","True","localhost","cfa5418a-2a74-4bf7-a6b4-d1c96bf4f3ec","False"
"LASMT19.fnbm.corp","Version8.0","True","localhost","feb1d2c8-32a1-42fd-be50-1599eb1359ac","False"
"LASMT20.fnbm.corp","Version8.0","True","localhost","7a61c7b7-cbfd-4fbc-875c-ff21aa22ffcd","False"
"LASMT21.fnbm.corp","Version8.0","True","localhost","07f9cf32-2eee-4393-b090-f245d0ada365","False"
"LASMT22.fnbm.corp","Version8.0","True","localhost","091328e1-7d7c-491f-b579-abca34bb25b6","False"
"LASMT23.fnbm.corp","Version8.0","True","localhost","a6acde0a-0b55-4910-9122-bec294864c14","False"
"LASMT24.fnbm.corp","Version8.0","True","localhost","de251d3e-4f87-432a-b5c2-d86bed0767b7","False"
"LASMT25.fnbm.corp","Version8.0","True","localhost","82eef83e-c544-4692-99db-d5b3cb1d1356","False"
"LASNCACHE01.fnbm.corp","Not Installed.","True","localhost","6f58f0d1-e36f-4602-a705-683d1c2c0e56","False"
"LASNCACHE01TST.fnbm.corp","Not Installed.","True","localhost","dc3280c6-fb90-4965-bb9c-57d51a433724","False"
"LASNCACHE02.fnbm.corp","Not Installed.","True","localhost","7d2df5bd-ebc3-4d88-9dd8-4b0e23b9d3df","False"
"LASNCACHE02TST.fnbm.corp","Not Installed.","True","localhost","e9e786cb-5298-4665-bb84-d3247f1e0b25","False"
"LASNETBRAIN01.fnbm.corp","Version8.5","True","localhost","26b8f6f2-40a0-4538-b90c-141dfb4abbec","False"
"LASNETIQTST01.creditoneapp.tst","Not Installed.","True","localhost","288d3ea2-0904-44af-9766-b44c938177b6","False"
"LASNETVR03.fnbm.corp","Version10.0","True","localhost","f5ec0c10-d739-43a9-93dd-cbc2a7ab82e2","False"
"LASNETVR04.fnbm.corp","Version10.0","True","localhost","a3f9c762-1515-47d5-93ed-aee5c2f597d8","False"
"LASNOBHAR01.creditoneapp.biz","Not Installed.","True","localhost","b8e8bc61-13f6-4bad-83dc-9bd5a9457b2a","False"
