DCTEST01GUI,Software Protection,Stopped,Automatic
DCTEST01GUI,SSDP Discovery,Stopped,Disabled
DCTEST01GUI,Secure Socket Tunneling Protocol Service,Stopped,Manual
DCTEST01GUI,Spot Verifier,Stopped,Manual
DCTEST01GUI,Microsoft Software Shadow Copy Provider,Stopped,Manual
DCTEST01GUI,Superfetch,Stopped,Manual
DCTEST01GUI,Telephony,Stopped,Manual
DCTEST01GUI,Remote Desktop Services,Running,Manual
DCTEST01GUI,Themes,Running,Automatic
DCTEST01GUI,Thread Ordering Server,Stopped,Manual
DCTEST01GUI,Track-It! Workstation Manager,Running,Automatic
DCTEST01GUI,Distributed Link Tracking Client,Running,Automatic
DCTEST01GUI,Windows Modules Installer,Stopped,Manual
DCTEST01GUI,User Access Logging Service,Running,Automatic
DCTEST01GUI,Interactive Services Detection,Stopped,Manual
DCTEST01GUI,Remote Desktop Services UserMode Port Redirector,Running,Manual
DCTEST01GUI,UPnP Device Host,Stopped,Disabled
DCTEST01GUI,Credential Manager,Stopped,Manual
DCTEST01GUI,Virtual Disk,Stopped,Manual
DCTEST01GUI,VMware Alias Manager and Ticket Service,Running,Automatic
DCTEST01GUI,Hyper-V Heartbeat Service,Stopped,Manual
DCTEST01GUI,Hyper-V Data Exchange Service,Stopped,Manual
DCTEST01GUI,Hyper-V Remote Desktop Virtualization Service,Stopped,Manual
DCTEST01GUI,Hyper-V Guest Shutdown Service,Stopped,Manual
DCTEST01GUI,Hyper-V Time Synchronization Service,Stopped,Manual
DCTEST01GUI,Hyper-V Volume Shadow Copy Requestor,Stopped,Manual
DCTEST01GUI,VMware Tools,Running,Automatic
DCTEST01GUI,VMware Snapshot Provider,Stopped,Manual
DCTEST01GUI,VMware CAF AMQP Communication Service,Stopped,Manual
DCTEST01GUI,VMware CAF Management Agent Service,Running,Automatic
DCTEST01GUI,Volume Shadow Copy,Stopped,Manual
DCTEST01GUI,Windows Time,Running,Manual
DCTEST01GUI,World Wide Web Publishing Service,Running,Automatic
DCTEST01GUI,Windows Process Activation Service,Running,Manual
DCTEST01GUI,Windows Color System,Stopped,Manual
DCTEST01GUI,Diagnostic Service Host,Stopped,Manual
DCTEST01GUI,Diagnostic System Host,Stopped,Manual
DCTEST01GUI,Windows Event Collector,Stopped,Manual
DCTEST01GUI,Problem Reports and Solutions Control Panel Support,Stopped,Manual
DCTEST01GUI,Windows Error Reporting Service,Stopped,Manual
DCTEST01GUI,WinHTTP Web Proxy Auto-Discovery Service,Running,Manual
DCTEST01GUI,Windows Management Instrumentation,Running,Automatic
DCTEST01GUI,Windows Remote Management (WS-Management),Running,Automatic
DCTEST01GUI,WMI Performance Adapter,Stopped,Manual
DCTEST01GUI,Portable Device Enumerator Service,Stopped,Manual
DCTEST01GUI,Windows Store Service (WSService),Stopped,Manual
DCTEST01GUI,Windows Update,Stopped,Manual
DCTEST01GUI,Windows Driver Foundation - User-mode Driver Framework,Stopped,Manual
MachineName,DisplayName,Status,StartType
